ID,Diet,Wing,lnWing,Pupa,lnPupa
LM18,Fed,1501556.625,14.22201288,3103443.581,14.94802289
LM19,Fed,1500893.75,14.22157132,2704926.404,14.81058526
LM20,Fed,1481405.125,14.2085016,2576364.02,14.76188967
LM21,Fed,1434060.5,14.17602049,2495424.899,14.72996957
LM22,Fed,1498249.5,14.21980798,2527658.256,14.74280384
LM23,Fed,1490611.75,14.21469716,2629018.532,14.78212115
LM24,Fed,1450305.75,14.18728495,2647689.982,14.78919811
LM25,Fed,1486474.125,14.21191751,2789014.311,14.8411988
LM26,Fed,1444307.25,14.18314035,2582678.613,14.76433764
LM27,Fed,1454965.25,14.19049258,2562427.663,14.75646567
LM28,Fed,1443498.625,14.18258033,2531511.69,14.74432719
LM29,Fed,1262621.375,14.04870057,2456097.412,14.71408423
LM30,Fed,1435689.75,14.17715595,2705675.304,14.81086209
